voterid,urbanicity,date_of_birth,gender,married,homeowner,has_children,zipcode,modeled_charitable_giving,household_income,unaffiliated_voter,modeled_activist_score,modeled_turnout_score,discretionary_income_level,nonsaver_level,modeled_partisan_score,survey_respondent,liberal_cause_donation,ntile
7887,Suburban,1948,M,1,1,,5802,4,86000,1,32.8,88.5,11,10,80.1,0,,1
15775,Suburban,1989,,1,,,5452,,,1,85.4,82.3,,,80.1,0,,1
16969,Urban,1981,F,0,0,,3239,1,29000,1,24.8,77.6,10,9,80.1,0,,2
15333,Urban,1954,M,0,1,,5434,8,45000,1,51,87.5,9,1,80.2,0,,1
7701,Urban,1969,M,1,1,,3204,9,49000,1,24.1,82,7,2,80.3,0,,1
2015,Suburban,1973,F,1,1,,3028,2,113000,1,20.9,94.6,6,10,80.4,1,37,1
6346,Rural,1953,F,1,1,,3519,8,41000,1,22.7,93.4,8,2,80.4,0,,1
6376,Urban,1949,F,0,0,,3208,,14000,1,68.2,81,11,,80.4,0,,1
1316,Rural,1936,M,1,1,,5179,8,23000,1,55.6,78.9,11,5,80.4,1,21,2
7941,Suburban,1970,,0,,,4904,,,1,64.4,77.8,,,80.4,0,,2
19812,Urban,1963,M,0,1,1,4149,10,50000,1,39.8,76.8,10,4,80.4,0,,2
17287,Rural,1963,F,1,1,1,4881,10,92000,1,19.5,89.2,4,7,80.5,0,,1
19899,Rural,1956,F,1,,,3360,5,74000,1,30.6,93.4,1,5,80.6,0,,1
15839,Suburban,1986,M,1,0,,4007,8,55000,1,31,80.4,6,6,80.7,0,,1
8264,Urban,1985,,0,,,3239,,,1,36.4,70.3,,,80.7,0,,2
14004,Rural,1955,M,1,1,,4089,9,74000,1,78.3,95.3,4,7,80.8,0,,1
15391,Rural,1949,M,1,1,,3407,5,87000,1,62.5,91.7,4,8,80.8,0,,1
9871,Suburban,1969,F,1,1,,5257,6,121000,1,17.8,88.5,3,9,80.8,0,,2
2575,Urban,1959,F,1,1,,4126,7,79000,1,64.1,86.3,4,8,80.8,1,91,2
8362,Suburban,1947,F,0,1,,3950,,19000,1,69.8,93,11,1,80.9,0,,1
16353,Rural,1958,F,1,1,,4447,8,94000,1,40.6,92.4,4,8,80.9,0,,1
14867,Urban,1957,M,0,1,,4122,,59000,1,73,87.4,6,,80.9,0,,1
16505,Suburban,1944,F,0,,,4315,10,14000,1,46.1,87,11,2,80.9,0,,2
5965,Urban,1980,F,0,,,3204,2,96000,1,33.4,86.1,3,7,80.9,0,,2
13929,Urban,1990,F,1,1,,4119,6,42000,1,35,80.2,8,5,80.9,0,,2
7130,Rural,1940,F,1,1,,4836,3,71000,1,35.4,90.1,7,5,81,0,,1
12955,Suburban,1972,F,1,1,,5143,1,130000,1,14,84.8,5,8,81,0,,1
10228,Rural,1969,F,0,,,4268,9,61000,1,11.3,82,5,7,81,0,,2
10185,Suburban,1962,F,0,1,,4331,1,148000,1,69.9,94.5,2,9,81.1,0,,1
7432,Suburban,1978,F,1,1,,4139,10,66000,1,33.2,84.4,4,7,81.1,0,,1
12114,Urban,1977,F,0,0,,3205,,15000,1,23.6,81.6,10,,81.1,0,,2
17897,Suburban,1942,M,1,1,,4135,9,27000,1,63.2,96.9,7,4,81.2,0,,1
11799,Rural,1964,F,1,1,,3315,8,69000,1,23.8,92.5,6,7,81.2,0,,1
8584,Suburban,1977,F,0,1,,3010,7,81000,1,21.9,85.9,5,8,81.2,0,,2
10804,Suburban,1965,F,1,1,,4488,,79000,1,35,71.4,5,,81.2,0,,2
2923,Urban,1979,,1,,,3084,,248000,1,75,86.4,2,,81.3,0,,1
7401,Suburban,1972,F,0,1,,5009,,15000,1,43.9,82.5,11,,81.3,0,,1
10275,Urban,1935,F,0,1,,3232,,70000,1,67.9,77.3,5,,81.3,0,,2
13386,Suburban,1995,,1,,,5055,,88000,1,80,74.5,4,,81.3,0,,2
5110,Suburban,1951,F,1,1,,3023,7,53000,1,70.9,88.9,8,7,81.4,0,,1
8633,Rural,1929,F,0,,,3986,,11000,1,56.5,79.5,11,1,81.4,0,,1
19303,Suburban,1957,F,0,1,,4034,,,1,37.8,71.8,,,81.4,0,,2
17930,Urban,1937,F,1,1,,3023,9,81000,1,62.7,89.9,10,9,81.5,0,,1
16259,Urban,1964,M,1,1,1,3205,2,91000,1,32.3,89.1,3,9,81.5,0,,2
12880,Rural,1978,F,1,1,,3441,9,66000,1,15.4,91.5,5,7,81.6,0,,1
14763,Suburban,1962,M,1,1,,3303,8,46000,1,28.1,90.1,8,2,81.6,0,,1
11079,Suburban,1973,M,1,1,,4485,5,48000,1,45.2,88.8,8,3,81.6,0,,2
9005,Urban,1989,F,0,,,3463,10,49000,1,32.1,75.5,10,8,81.6,0,,2
18958,Urban,1953,M,1,,,5226,5,114000,1,55.5,89.4,4,6,81.7,0,,1
3687,Rural,1958,F,0,1,,3319,10,49000,1,33,86.6,5,4,81.7,1,30,1
6172,Suburban,1982,,0,1,,4904,,80000,1,53.1,84.3,5,,81.7,0,,2
12739,Suburban,1973,F,1,1,1,4245,7,70000,1,23.3,88.7,2,8,81.8,0,,1
13168,Urban,1986,M,0,,,3213,1,108000,1,38.6,85.9,5,9,81.8,0,,1
8360,Suburban,1961,,0,,,3554,6,112000,1,20.8,70.1,4,8,81.8,0,,2
227,Suburban,1993,,0,,,5702,,,1,72,94.8,,,81.9,0,,1
13361,Suburban,1952,,1,,,4205,,26000,1,47.8,87.8,11,,81.9,0,,1
